Event id;Event start date;Event stop date;Venue name;Event name;Venue address;Venue city;Venue state;Postal code;Latitude;Longitude;Cancelled
E0-001-089606746-5;2016-09-12 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092628943-2;2016-09-11 20:00:00;;Saratoga Performing Arts Center;Bryan Adams: Get Up!;108 Avenue of The Pines;Saratoga Springs;NY;12866;43.0553703;-73.8055707;
E0-001-093224091-1;2016-09-11 19:30:00;;B.B. King Blues Club and Grill;The Music of Marvin Gaye & Bill Withers feat. Papa J. & Mo' Soul;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-090526303-1;2016-09-11 19:00:00;;Xfinity Theatre (formerly Comcast);Jason Aldean with Thomas Rhett and A Thousand Horses;61 Savitt Way;Hartford;CT;06120;41.7801718;-72.6693191;
E0-001-093288484-9;2016-09-11 18:00:00;2016-09-11 20:00:00;Lehman College of the City University of New York;I Don't Want to know;250 Bedford Park Boulevard West;Bronx;NY;10468;40.875044;-73.892867;
E0-001-093224090-2;2016-09-11 17:00:00;;B.B. King Blues Club and Grill;The Music of Marvin Gaye & Bill Withers feat. Papa J. & Mo' Soul;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-092026241-5;2016-09-11 17:00:00;;Barclays Center;Toruk: The First Flight;620 Atlantic Ave;Brooklyn;NY;11217;40.68316701574241;-73.9752088423279;
E0-001-089459899-8;2016-09-11 14:00:00;;Vassar College;Soccer (M) VC Classic: Vassar College vs. Elms College;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-090388432-6;2016-09-11 13:05:00;;Yankee Stadium;New York Yankees vs. Tampa Bay Rays;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092924365-3;2016-09-11 13:01:00;;Yankee Stadium;PARKING PASSES ONLY Rays at Yankees;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-091451272-6;2016-09-11 13:00:00;;Mohegan Sun Resort and Casino;Connecticut Sun vs. Chicago Sky;1 Mohegan Sun Boulevard;Uncasville;CT;06382;41.4915974;-72.0914563;
E0-001-089459939-5;2016-09-11 12:00:00;;Vassar College;Soccer (M) VC Classic: SUNY New Paltz vs. William Paterson University;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-087324195-2;2016-09-11 10:00:00;;University of Rochester;Clothesline Festival;240 Wallis Hall;Rochester;NY;14627;43.1285832;-77.6253852;
E0-001-090705985-8;2016-09-11 00:00:00;;Xfinity Theatre (formerly Comcast);Country Megaticket;61 Savitt Way;Hartford;CT;06120;41.7801718;-72.6693191;
E0-001-093172988-2;2016-09-11 00:00:00;2016-09-11 00:00:00;Webster Theatre;Islands In The Stream (Touring);39-41 Webster Street;Hartford;CT;06114;41.7444989;-72.6829099;
E0-001-089606745-6;2016-09-11 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092632932-3@2016091100;2016-09-11 00:00:00;;Rochester City Park;National Assisted Living Week;30 Church Street;Rochester;NY;;43.1569977;-77.6148503;
E0-001-092656880-7@2016091100;2016-09-11 00:00:00;;Buffalo State Sports Arena;National Assisted Living Week;1300 Elmwood Ave;Buffalo;NY;14222;42.9326142;-78.8769959;
E0-001-092335343-5;2016-09-10 23:59:00;;Gillette Stadium;Boston College Eagles at UMass Minutemen;1 Patriot Place;Foxboro;MA;02035;42.0935165;-71.2615157;
E0-001-088354498-2;2016-09-10 20:00:00;;Mohegan Sun Resort and Casino;Bryan Adams;1 Mohegan Sun Boulevard;Uncasville;CT;06382;41.4915974;-72.0914563;
E0-001-092459758-6;2016-09-10 20:00:00;;Foxwoods Resort Casino;Sinbad;350 Trolley Line Boulevard;Ledyard;CT;06339;41.47456670220241;-71.95928919203493;
E0-001-093127539-0;2016-09-10 20:00:00;;Providence Performing Arts Center;Steven Tyler;220 Weybosset Street;Providence;RI;02903;41.8211749;-71.4117980;
E0-001-092445910-7;2016-09-10 20:00:00;;Count Basie Theatre;The Hit Men;99 Monmouth Street;Red Bank;NJ;07701;40.3488950;-74.0701980;
E0-001-092481953-0;2016-09-10 19:30:00;;B.B. King Blues Club and Grill;EMPIRE BEATS - Rock, Roll & Soul Rhythm & Blues Revue - Glamorous jazz chanteuses and gutsy blues shouters explore an expanding book of Rock/Roll&Soul music ~ familiar and forgotten hits from the past and funky new originals. - 7:30PM SHOW;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-092463325-9;2016-09-10 19:30:00;;B.B. King Blues Club and Grill;EMPIRE BEATS: Rock, Roll & Soul Rhythm & Blues Revue;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-092595157-8;2016-09-10 19:30:00;;B.B. King Blues Club and Grill;Empire Beats;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-090144742-2;2016-09-10 19:30:00;;Gillette Stadium;New York City FC at New England Revolution;1 Patriot Place;Foxboro;MA;02035;42.0935165;-71.2615157;
E0-001-092766215-5;2016-09-10 19:30:00;;The Haunt;Ithaca Underground presents Pig Destroyer w/ Secret Cutter;702 Willow Avenue;Ithaca;NY;14850;42.4514020;-76.5050240;
E0-001-092663276-8;2016-09-10 19:00:00;;The Bowery Ballroom;The Anniversary;6 Delancey Street;New York;NY;10002;40.7203640;-73.9935420;
E0-001-092801589-5;2016-09-10 19:00:00;;Wilbur Theatre;Steve Lemme & Kevin Heffernan From Broken Lizard's Super Troopers;246 Tremont Street;Boston;MA;02116;42.3507536;-71.0647817;
E0-001-092100740-8;2016-09-10 19:00:00;;Blue Cross Arena;PBR - Professional Bull Riders;One War Memorial Square;Rochester;NY;;43.1539000;-77.6108000;
E0-001-091794880-7;2016-09-10 19:00:00;;NYCB Theatre at Westbury;Doo Wop Extravaganza;960 Brush Hollow Road;Westbury;NY;11590;40.7733768;-73.5585732;
E0-001-093318134-1;2016-09-10 18:31:00;;Fenway Park;Jason Aldean - Official;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-093289339-7;2016-09-10 18:30:00;;Fenway Park;Jason Aldean, Kid Rock, Thomas Rhett & A Thousand Horses;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-090314803-9;2016-09-10 18:30:00;;PNC Bank Arts Center;Heart with Cheap Trick;Exit 116, Garden State Pkwy;Holmdel;NJ;;39.9829850;-74.2134896;
