PlayStation Theater,1515 Broadway at West 44th Street,New York,NY,10036,V0-001-001452630-0
Xfinity Center (formerly Comcast Center),885 S Main Street,Mansfield,MA,2048,V0-001-001458897-5
Cafe 939,939 Boylston Street,Boston,MA,2115,V0-001-001462036-9
Mercury Lounge,217 East Houston Street,New York,NY,10002,V0-001-001462094-3
Fenway Park,4 Yawkey Way,Boston,MA,02215-3409,V0-001-001462784-9
The Bowery Ballroom,6 Delancey Street,New York,NY,10002,V0-001-001466271-8
PNC Bank Arts Center,"Exit 116, Garden State Pkwy",Holmdel,NJ,,V0-001-001467766-8
The Theater At Madison Square Garden,Seventh Avenue and 32nd Street,New York,NY,10001,V0-001-001467820-5
Saratoga Performing Arts Center,108 Avenue of The Pines,Saratoga Springs,NY,12866,V0-001-001478649-8
Santos Party House,96 Lafayette Street,New York,NY,10013,V0-001-001491699-2
Wellmont Theatre,5 Seymour Street,Montclair,NJ,7042,V0-001-001508973-6
Trump Taj Mahal,1000 Boardwalk at Virginia Avenue,Atlantic City,NJ,8401,V0-001-001585396-4
Dave & Buster's,40 Providence Place Mall,Providence,RI,2903,V0-001-002216403-5
Niagara County Fair Grounds,4487 Lake Road (Route 78),Lockport,NY,14094,V0-001-002358941-7
Highland Park and Lamberton Conservatory,171 Reservoir Avenue,Rochester,NY,14620,V0-001-002386621-9
Mohegan Sun Resort and Casino,1 Mohegan Sun Boulevard,Uncasville,CT,6382,V0-001-002451906-2
Colosseum,180 Pine Street,Providence,RI,,V0-001-002982890-1
Bowery Poetry Club & Cafe,308 Bowery,New York,NY,10012,V0-001-003432385-3
The Tralf,622 Main St,Buffalo,NY,14202,V0-001-003821657-9
Royale Nightclub,279 Tremont St,Boston,MA,2116,V0-001-004150246-7
Hole in the Wall Theater,116 Main Street,New Britain,CT,6050,V0-001-004934676-0
Barclays Center,620 Atlantic Ave,Brooklyn,NY,11217,V0-001-005929409-5
Hunter College - Kaye Playhouse,695 Park Avenue,New York,NY,10065,V0-001-009074065-8
