Week,Year,State,Prevalence
6,2016,DC,Local Activity
6,2016,MD,Widespread
6,2016,DE,Local Activity
6,2016,PA,Widespread
6,2016,VI,Sporadic
6,2016,PR,Widespread
6,2016,NJ,Regional
6,2016,NY,Widespread
6,2016,CT,Widespread
6,2016,RI,Regional
6,2016,MA,Widespread
6,2016,VT,Widespread
6,2016,NH,Regional
6,2016,ME,Regional
5,2016,AK,Sporadic
5,2016,OR,Local Activity
5,2016,WA,Regional
5,2016,ID,Local Activity
5,2016,GU,Regional
5,2016,HI,Sporadic
5,2016,CA,Widespread
5,2016,NV,Regional
5,2016,AZ,Widespread
5,2016,UT,Regional
5,2016,CO,Local Activity
5,2016,WY,Local Activity
5,2016,MT,Local Activity
5,2016,SD,Sporadic
5,2016,ND,Regional
5,2016,KS,Local Activity
5,2016,NE,Sporadic
5,2016,MO,Sporadic
5,2016,IA,Widespread
5,2016,NM,Regional
5,2016,TX,Regional
5,2016,OK,Local Activity
5,2016,LA,Sporadic
5,2016,AR,Local Activity
5,2016,MN,Regional
5,2016,WI,Local Activity
5,2016,MI,Regional
5,2016,IL,Local Activity
5,2016,IN,Regional
5,2016,OH,Local Activity
5,2016,MS,No Activity
5,2016,AL,Local Activity
5,2016,TN,Local Activity
5,2016,KY,Widespread
5,2016,FL,Regional
5,2016,GA,Sporadic
5,2016,SC,Local Activity
5,2016,NC,Local Activity
5,2016,WV,Sporadic
5,2016,VA,Local Activity
5,2016,DC,Sporadic
5,2016,MD,Regional
5,2016,DE,Sporadic
5,2016,PA,Regional
5,2016,VI,No Report
5,2016,PR,Widespread
5,2016,NJ,Regional
5,2016,NY,Widespread
5,2016,CT,Widespread
5,2016,RI,Regional
5,2016,MA,Widespread
5,2016,VT,Regional
5,2016,NH,Regional
5,2016,ME,Regional
4,2016,AK,Local Activity
4,2016,OR,Local Activity
4,2016,WA,Regional
4,2016,ID,Local Activity
4,2016,GU,Regional
4,2016,HI,Sporadic
4,2016,CA,Widespread
4,2016,NV,Regional
4,2016,AZ,Regional
4,2016,UT,Regional
4,2016,CO,Local Activity
4,2016,WY,Local Activity
4,2016,MT,Sporadic
4,2016,SD,Sporadic
4,2016,ND,Local Activity
4,2016,KS,Sporadic
4,2016,NE,Sporadic
4,2016,MO,Sporadic
4,2016,IA,Widespread
4,2016,NM,Regional
4,2016,TX,Regional
4,2016,OK,Local Activity
4,2016,LA,Sporadic
4,2016,AR,Local Activity
4,2016,MN,Local Activity
4,2016,WI,Sporadic
4,2016,MI,Local Activity
4,2016,IL,Local Activity
4,2016,IN,Regional
4,2016,OH,Local Activity
4,2016,MS,No Activity
4,2016,AL,Local Activity
4,2016,TN,Sporadic
4,2016,KY,Regional
4,2016,FL,Local Activity
4,2016,GA,Sporadic
4,2016,SC,Local Activity
4,2016,NC,Regional
4,2016,WV,Sporadic
4,2016,VA,Regional
4,2016,DC,Local Activity
4,2016,MD,Regional
4,2016,DE,Sporadic
4,2016,PA,Local Activity
4,2016,VI,Sporadic
4,2016,PR,Widespread
4,2016,NJ,Regional
4,2016,NY,Regional
4,2016,CT,Regional
4,2016,RI,Regional
4,2016,MA,Widespread
4,2016,VT,Regional
4,2016,NH,Regional
4,2016,ME,Regional
3,2016,AK,Sporadic
3,2016,OR,Local Activity
3,2016,WA,Regional
3,2016,ID,Sporadic
3,2016,GU,Local Activity
3,2016,HI,Sporadic
3,2016,CA,Widespread
3,2016,NV,Regional
3,2016,AZ,Regional
3,2016,UT,Regional
3,2016,CO,Sporadic
3,2016,WY,Local Activity
3,2016,MT,Sporadic
3,2016,SD,Sporadic
3,2016,ND,Local Activity
3,2016,KS,Sporadic
3,2016,NE,Sporadic
3,2016,MO,Sporadic
3,2016,IA,Regional
3,2016,NM,Regional
3,2016,TX,Regional
3,2016,OK,Local Activity
3,2016,LA,Sporadic
3,2016,AR,Local Activity
3,2016,MN,Local Activity
3,2016,WI,Sporadic
3,2016,MI,Local Activity
3,2016,IL,Local Activity
3,2016,IN,Local Activity
3,2016,OH,Sporadic
3,2016,MS,Sporadic
3,2016,AL,Regional
3,2016,TN,Sporadic
3,2016,KY,Sporadic
3,2016,FL,Sporadic
3,2016,GA,Sporadic
3,2016,SC,Sporadic
3,2016,NC,Widespread
3,2016,WV,Sporadic
3,2016,VA,Regional
3,2016,DC,Sporadic
3,2016,MD,Widespread
3,2016,DE,Sporadic
3,2016,PA,Local Activity
3,2016,VI,Sporadic
3,2016,PR,Regional
3,2016,NJ,Local Activity
3,2016,NY,Regional
3,2016,CT,Regional
3,2016,RI,Regional
3,2016,MA,Widespread
3,2016,VT,Local Activity
3,2016,NH,Regional
3,2016,ME,Regional
2,2016,AK,Sporadic
2,2016,OR,Regional
2,2016,WA,Regional
2,2016,ID,Sporadic
2,2016,GU,Local Activity
2,2016,HI,Sporadic
2,2016,CA,Regional
2,2016,NV,Local Activity
2,2016,AZ,Regional
2,2016,UT,Regional
2,2016,CO,Sporadic
2,2016,WY,Sporadic
2,2016,MT,Sporadic
2,2016,SD,Sporadic
2,2016,ND,Sporadic
2,2016,KS,Sporadic
2,2016,NE,Sporadic
2,2016,MO,Sporadic
2,2016,IA,Regional
2,2016,NM,Local Activity
2,2016,TX,Local Activity
2,2016,OK,Local Activity
2,2016,LA,Sporadic
2,2016,AR,Sporadic
2,2016,MN,Local Activity
2,2016,WI,Sporadic
2,2016,MI,Local Activity
2,2016,IL,Sporadic
2,2016,IN,Local Activity
2,2016,OH,Sporadic
2,2016,MS,Sporadic
2,2016,AL,No Activity
2,2016,TN,Sporadic
2,2016,KY,Sporadic
2,2016,FL,Sporadic
2,2016,GA,Sporadic
2,2016,SC,Sporadic
2,2016,NC,Widespread
2,2016,WV,Sporadic
2,2016,VA,Regional
2,2016,DC,No Activity
2,2016,MD,Widespread
2,2016,DE,Sporadic
2,2016,PA,Local Activity
2,2016,VI,Sporadic
2,2016,PR,Regional
2,2016,NJ,Local Activity
2,2016,NY,Local Activity
2,2016,CT,Regional
2,2016,RI,Regional
2,2016,MA,Widespread
2,2016,VT,Local Activity
2,2016,NH,Local Activity
2,2016,ME,Regional
1,2016,AK,Sporadic
1,2016,OR,Local Activity
1,2016,WA,Sporadic
1,2016,ID,Sporadic
1,2016,GU,Regional
1,2016,HI,Sporadic
1,2016,CA,Regional
1,2016,NV,Local Activity
1,2016,AZ,Regional
1,2016,UT,Local Activity
1,2016,CO,Sporadic
1,2016,WY,Sporadic
1,2016,MT,Sporadic
1,2016,SD,Sporadic
1,2016,ND,Sporadic
1,2016,KS,Sporadic
1,2016,NE,Sporadic
1,2016,MO,Sporadic
1,2016,IA,Regional
1,2016,NM,Local Activity
1,2016,TX,Local Activity
1,2016,OK,Local Activity
1,2016,LA,Sporadic
1,2016,AR,Sporadic
1,2016,MN,Sporadic
1,2016,WI,Sporadic
1,2016,MI,Sporadic
1,2016,IL,Sporadic
1,2016,IN,Local Activity
1,2016,OH,Sporadic
1,2016,MS,Sporadic
1,2016,AL,No Activity
1,2016,TN,No Activity
1,2016,KY,Local Activity
1,2016,FL,Sporadic
1,2016,GA,Sporadic
1,2016,SC,Sporadic
1,2016,NC,Regional
1,2016,WV,Sporadic
1,2016,VA,Regional
1,2016,DC,No Activity
1,2016,MD,Local Activity
1,2016,DE,Sporadic
1,2016,PA,Regional
1,2016,VI,Sporadic
1,2016,PR,Regional
1,2016,NJ,Local Activity
1,2016,NY,Sporadic
1,2016,CT,Regional
1,2016,RI,Sporadic
1,2016,MA,Regional
1,2016,VT,Local Activity
1,2016,NH,Regional
1,2016,ME,Sporadic
52,2015,AK,Sporadic
52,2015,OR,Local Activity
52,2015,WA,Sporadic
52,2015,ID,Sporadic
52,2015,GU,Widespread
52,2015,HI,Sporadic
52,2015,CA,Local Activity
52,2015,NV,Local Activity
52,2015,AZ,Local Activity
52,2015,UT,Local Activity
52,2015,CO,Sporadic
52,2015,WY,Sporadic
52,2015,MT,Sporadic
52,2015,SD,Sporadic
52,2015,ND,Local Activity
52,2015,KS,Sporadic
52,2015,NE,Sporadic
52,2015,MO,Sporadic
52,2015,IA,Regional
52,2015,NM,Local Activity
52,2015,TX,Local Activity
52,2015,OK,Local Activity
52,2015,LA,Sporadic
52,2015,AR,Sporadic
52,2015,MN,Sporadic
52,2015,WI,Sporadic
52,2015,MI,Sporadic
52,2015,IL,Sporadic
52,2015,IN,Sporadic
52,2015,OH,Sporadic
52,2015,MS,No Activity
52,2015,AL,No Activity
52,2015,TN,Sporadic
52,2015,KY,Local Activity
52,2015,FL,Sporadic
52,2015,GA,Sporadic
52,2015,SC,Sporadic
52,2015,NC,Widespread
52,2015,WV,Sporadic
52,2015,VA,Regional
52,2015,DC,No Activity
52,2015,MD,Widespread
52,2015,DE,Sporadic
52,2015,PA,Regional
52,2015,VI,Sporadic
52,2015,PR,No Report
52,2015,NJ,Local Activity
52,2015,NY,Sporadic
52,2015,CT,Regional
52,2015,RI,Sporadic
52,2015,MA,Regional
52,2015,VT,Local Activity
52,2015,NH,Regional
52,2015,ME,Local Activity
51,2015,AK,Sporadic
51,2015,OR,Local Activity
51,2015,WA,Sporadic
51,2015,ID,Sporadic
51,2015,GU,Widespread
51,2015,HI,Sporadic
51,2015,CA,Sporadic
51,2015,NV,Local Activity
51,2015,AZ,Local Activity
51,2015,UT,Local Activity
51,2015,CO,Sporadic
51,2015,WY,Sporadic
51,2015,MT,Sporadic
51,2015,SD,Sporadic
51,2015,ND,Sporadic
51,2015,KS,Sporadic
51,2015,NE,Sporadic
51,2015,MO,Sporadic
51,2015,IA,Local Activity
51,2015,NM,Local Activity
51,2015,TX,Local Activity
51,2015,OK,Sporadic
51,2015,LA,Sporadic
51,2015,AR,Sporadic
51,2015,MN,Local Activity
51,2015,WI,Sporadic
51,2015,MI,Sporadic
51,2015,IL,Sporadic
51,2015,IN,Local Activity
51,2015,OH,Sporadic
51,2015,MS,No Activity
51,2015,AL,Sporadic
51,2015,TN,No Activity
51,2015,KY,Local Activity
51,2015,FL,Sporadic
51,2015,GA,Sporadic
51,2015,SC,Sporadic
51,2015,NC,Widespread
51,2015,WV,Sporadic
51,2015,VA,Regional
51,2015,DC,No Activity
51,2015,MD,Regional
51,2015,DE,Sporadic
51,2015,PA,Regional
51,2015,VI,No Report
51,2015,PR,No Report
51,2015,NJ,Local Activity
51,2015,NY,Sporadic
51,2015,CT,Local Activity
51,2015,RI,No Activity
51,2015,MA,Regional
51,2015,VT,Sporadic
51,2015,NH,Regional
51,2015,ME,Sporadic
50,2015,AK,Sporadic
50,2015,OR,Local Activity
50,2015,WA,Sporadic
50,2015,ID,Local Activity
50,2015,GU,Regional
50,2015,HI,Sporadic
50,2015,CA,Sporadic
50,2015,NV,Local Activity
50,2015,AZ,Local Activity
50,2015,UT,Sporadic
50,2015,CO,Sporadic
50,2015,WY,Sporadic
50,2015,MT,Sporadic
50,2015,SD,Sporadic
50,2015,ND,Sporadic
50,2015,KS,Sporadic
50,2015,NE,Sporadic
50,2015,MO,Sporadic
50,2015,IA,Local Activity
50,2015,NM,Local Activity
50,2015,TX,Local Activity
50,2015,OK,Sporadic
50,2015,LA,Sporadic
50,2015,AR,Sporadic
50,2015,MN,Regional
50,2015,WI,Sporadic
50,2015,MI,Sporadic
50,2015,IL,No Activity
50,2015,IN,Local Activity
50,2015,OH,Sporadic
50,2015,MS,No Activity
50,2015,AL,Local Activity
50,2015,TN,Sporadic
50,2015,KY,Regional
50,2015,FL,Sporadic
50,2015,GA,Sporadic
50,2015,SC,Sporadic
50,2015,NC,Regional
50,2015,WV,Sporadic
50,2015,VA,Local Activity
50,2015,DC,Sporadic
50,2015,MD,Regional
50,2015,DE,No Activity
50,2015,PA,Regional
50,2015,VI,Local Activity
50,2015,PR,Regional
50,2015,NJ,Local Activity
50,2015,NY,Sporadic
50,2015,CT,Local Activity
50,2015,RI,No Activity
